algorithm,structure,dataset,size,time
heap,linked,reverse,10000,0.005249399982858449
radix,array,sorted,10000,0.024895999988075346
radix,linked,sorted,10000,0.02406000002520159
quick,array,reverse,10000,0.029594300023745745
quick,linked,reverse,10000,0.033465599990449846
radix,array,reverse,10000,0.029485100007150322
radix,linked,reverse,10000,0.03141870000399649
merge,array,reverse,10000,0.037409700045827776
merge,linked,reverse,10000,0.04644410003675148
shell,array,reverse,10000,0.06298039999091998
shell,linked,reverse,10000,0.0428420000243932
heap,array,almost,10000,0.005597699957434088
heap,linked,almost,10000,0.005516899982467294
counting,array,almost,10000,0.005506199959199876
counting,linked,almost,10000,0.005267700005788356
shell,array,almost,10000,0.04857699997955933
shell,linked,almost,10000,0.057603799970820546
quick,array,almost,10000,0.05280469998251647
quick,linked,almost,10000,0.03034180001122877
merge,array,almost,10000,0.04576790001010522
merge,linked,almost,10000,0.05811839998932555
radix,array,almost,10000,0.03920870000729337
radix,linked,almost,10000,0.04556050000246614
shell,array,half,10000,0.055378900025971234
shell,linked,half,10000,0.05528209998738021
merge,array,half,10000,0.040755300025921315
merge,linked,half,10000,0.06023760000243783
heap,array,half,10000,0.005768300034105778
heap,linked,half,10000,0.005612100008875132
quick,array,half,10000,0.03776209999341518
quick,linked,half,10000,0.03298800002085045
counting,array,half,10000,0.037111999990884215
counting,linked,half,10000,0.03683379996800795
radix,array,half,10000,0.04601979994913563
radix,linked,half,10000,0.03044709999812767
insertion,array,almost,10000,0.3322241000132635
insertion,linked,almost,10000,0.30964990000938997
insertion,array,half,10000,1.666196200007107
insertion,linked,half,10000,1.5601447999943048
shell,array,flat,10000,0.06229880003957078
shell,linked,flat,10000,0.04209790000459179
merge,array,flat,10000,0.04820240003755316
merge,linked,flat,10000,0.04734509997069836
quick,array,flat,10000,0.00560929998755455
quick,linked,flat,10000,0.005553599970880896
heap,array,flat,10000,0.005324400030076504
heap,linked,flat,10000,0.005208299960941076
counting,array,flat,10000,0.001296799979172647
counting,linked,flat,10000,0.001253900001756847
radix,array,flat,10000,0.011263999971561134
radix,linked,flat,10000,0.011197799991350621
shell,array,random,100000,1.0236258000368252
shell,linked,random,100000,1.0688317000167444
merge,array,random,100000,0.7194360000430606
merge,linked,random,100000,0.6509741999907419
quick,array,random,100000,0.46685749996686354
quick,linked,random,100000,0.46764589997474104
heap,array,random,100000,0.08547940000426024
heap,linked,random,100000,0.08488099998794496
counting,array,random,100000,0.07366090000141412
counting,linked,random,100000,0.05114679998951033
selection,array,almost,10000,4.746977799979504
selection,linked,almost,10000,4.773798400012311
selection,array,sorted,10000,4.993804699974135
selection,linked,sorted,10000,4.682092899980489
insertion,array,flat,10000,4.5823205999913625
insertion,linked,flat,10000,4.6809620000422
insertion,array,random,10000,5.1796683999709785
insertion,linked,random,10000,4.9341145000071265
selection,array,flat,10000,4.660677200008649
selection,linked,flat,10000,4.808457200007979
